0,electric installation,JJ,NNS
3,chapter apply,NN,VBZ
3,vessel construct,NNS,VBN
4,vessel construct,NNS,VBN
4,rule applicable,NNS,VBP
4,unless otherwise,IN,RB
4,otherwise provide,RB,VBN
4,individual provision,JJ,NNS
5,substantially alter,RB,VBN
5,vessel shall,NN,MD
5,shall comply,MD,VB
5,new vessel,JJ,NN
11,fire safety,NNP,NN
12,vessel construct,NNS,VBN
12,structural fire,JJ,NN
12,fire protection,NN,NN
12,nordic boat,NNP,NNP
12,boat standard,NNP,NNP
12,unless otherwise,IN,RB
12,otherwise provide,RB,VBN
12,individual provision,JJ,NNS
13,vessel construct,NNS,VBN
13,structural fire,JJ,NN
13,fire protection,NN,NN
13,rule applicable,NNS,VBP
14,gasfired installation,VBD,NNS
14,installation shall,NNS,MD
14,shall satisfy,MD,VB
14,safety precaution,NN,NNS
14,gasfired installation,JJ,NNS
14,liquefied hydrocarbon,JJ,NN
14,hydrocarbon gas,NN,NNS
14,gas use,NNS,VBN
14,board vessel,NN,NNS
16,oil-fired stove,JJ,NNS
17,electric power,JJ,NN
17,power supply,NN,NN
17,supply shall,NN,MD
17,oil supply,NN,NN
18,smoke gas,NN,NN
20,flame go,NN,VBZ
22,failure occur,NN,VBZ
24,stove without,NNS,IN
24,without electric,IN,JJ
24,electric power,JJ,NN
24,power supply,NN,NN
24,supply shall,NN,MD
24,oil supply,NN,NN
25,smoke gas,NN,NN
27,flame go,NN,VBZ
29,drip regulation,NNP,NN
29,regulation stove,NN,NNS
29,regulation valve,NN,NN
29,observation hole,NN,NN
29,automatic shutoff,JJ,NN
29,oil supply,NN,NN
29,oil consumption,NN,NN
29,oil regulation,NN,NN
29,regulation valve,NN,NN
29,installation instruction,NN,NNS
29,instruction shall,NNS,MD
29,shall indicate,MD,VB
29,maximum permit,NN,VBD
29,permit difference,VBD,NN
29,oil tank,NN,NN
29,regulation valve,NN,NN
29,oil pressure,NN,NN
29,pressure reduction,NN,NN
29,reduction valve,NN,FW
29,valve shall,FW,MD
29,satisfactory regulation,JJ,NN
29,oil supply,NN,NN
29,pressure variation,NN,NNS
29,overflow system,JJ,NN
29,system shall,NN,MD
29,full volume,JJ,NN
30,safety function,NN,NN
30,function shall,NN,MD
31,installation instruction,NN,NNS
31,instruction shall,NNS,MD
31,use shall,NN,MD
31,post near,VBN,IN
32,accessory shall,NNS,MD
32,installation instruction,NN,NNS
33,stove shall,NNPS,MD
33,smoke outlet,VBN,NN
35,oilfired stove,JJ,NN
36,stoves shall,VBZ,MD
36,securely fix,RB,VBN
36,fix bench,VBN,NN
36,possible near,JJ,IN
36,centre line,JJ,NN
37,stove without,NNS,IN
37,without automatic,IN,JJ
37,automatic shutoff,JJ,NN
37,oil supply,NN,NN
37,flame go,NN,VBG
37,separate oil,JJ,NN
37,oil tank,NN,NN
37,oil tank,NN,NN
37,tank shall,NN,MD
37,fill automatically,VBN,RB
37,height indicate,NN,VBN
37,installation instruction,NN,NNS
38,oil tank,NN,NN
38,tank shall,NN,MD
38,water separator,NN,NN
38,possible collection,JJ,NN
38,place outside,VBN,IN
39,oil pipe,NN,NN
39,regulator shall,NN,MD
39,filter shall,NN,MD
40,pipe make,NNP,VBN
40,equivalent material,JJ,NN
40,material shall,NN,MD
